inflation,output,target_inflation,target_output,persuasion,network_type
0.559,0.294,0.54,0.4,0.6000000000000001,watts-strogatz
0.558,0.288,0.53,0.44,0.6000000000000001,watts-strogatz
0.559,0.295,0.46,0.36,0.6000000000000001,watts-strogatz
0.561,0.299,0.46,0.37,0.6000000000000001,watts-strogatz
0.565,0.339,0.49,0.3,0.7000000000000001,watts-strogatz
0.567,0.348,0.46,0.26,0.7000000000000001,watts-strogatz
0.57,0.351,0.44,0.29,0.7000000000000001,watts-strogatz
0.57,0.346,0.48,0.32,0.7000000000000001,watts-strogatz
0.568,0.329,0.53,0.4,0.7000000000000001,watts-strogatz
0.566,0.321,0.55,0.37,0.7000000000000001,watts-strogatz
0.563,0.317,0.56,0.36,0.7000000000000001,watts-strogatz
0.561,0.309,0.55,0.4,0.7000000000000001,watts-strogatz
0.562,0.314,0.48,0.33,0.7000000000000001,watts-strogatz
0.563,0.315,0.47,0.35,0.7000000000000001,watts-strogatz
0.569,0.356,0.49,0.28,0.8,watts-strogatz
0.571,0.364,0.46,0.24,0.8,watts-strogatz
0.574,0.368,0.44,0.25,0.8,watts-strogatz
0.574,0.366,0.48,0.28,0.8,watts-strogatz
0.572,0.348,0.52,0.37,0.8,watts-strogatz
0.569,0.339,0.55,0.34,0.8,watts-strogatz
0.567,0.331,0.56,0.35,0.8,watts-strogatz
0.564,0.32,0.56,0.39,0.8,watts-strogatz
0.565,0.323,0.48,0.32,0.8,watts-strogatz
0.566,0.324,0.45,0.33,0.8,watts-strogatz
0.573,0.383,0.49,0.22,0.9,watts-strogatz
0.577,0.396,0.45,0.18,0.9,watts-strogatz
0.58,0.412,0.44,0.15,0.9,watts-strogatz
0.582,0.426,0.48,0.14,0.9,watts-strogatz
0.583,0.429,0.51,0.18,0.9,watts-strogatz
0.581,0.423,0.56,0.22,0.9,watts-strogatz
0.579,0.433,0.59,0.14,0.9,watts-strogatz
0.577,0.44,0.61,0.15,0.9,watts-strogatz
0.578,0.449,0.54,0.14,0.9,watts-strogatz
0.581,0.452,0.5,0.16,0.9,watts-strogatz
0.561,0.301,0.45,0.34,0.0,regular-graph
0.562,0.3,0.47,0.39,0.0,regular-graph
0.561,0.296,0.49,0.42,0.0,regular-graph
0.56,0.297,0.52,0.38,0.0,regular-graph
0.558,0.282,0.54,0.5,0.0,regular-graph
0.557,0.287,0.52,0.38,0.0,regular-graph
0.558,0.291,0.47,0.39,0.0,regular-graph
0.558,0.288,0.51,0.43,0.0,regular-graph
0.559,0.298,0.48,0.34,0.0,regular-graph
0.559,0.3,0.49,0.38,0.0,regular-graph
0.561,0.3,0.45,0.34,0.1,regular-graph
0.562,0.303,0.47,0.37,0.1,regular-graph
0.562,0.299,0.49,0.41,0.1,regular-graph
0.561,0.298,0.51,0.39,0.1,regular-graph
0.559,0.284,0.54,0.49,0.1,regular-graph
0.558,0.289,0.52,0.38,0.1,regular-graph
0.559,0.293,0.48,0.38,0.1,regular-graph
0.558,0.289,0.5,0.43,0.1,regular-graph
0.559,0.299,0.48,0.34,0.1,regular-graph
0.56,0.301,0.49,0.38,0.1,regular-graph
0.561,0.304,0.45,0.34,0.2,regular-graph
0.562,0.305,0.47,0.37,0.2,regular-graph
0.562,0.3,0.49,0.41,0.2,regular-graph
0.561,0.299,0.51,0.39,0.2,regular-graph
0.558,0.284,0.56,0.49,0.2,regular-graph
0.558,0.289,0.52,0.38,0.2,regular-graph
0.558,0.293,0.48,0.38,0.2,regular-graph
0.558,0.29,0.5,0.43,0.2,regular-graph
0.559,0.298,0.48,0.35,0.2,regular-graph
0.56,0.3,0.48,0.38,0.2,regular-graph
0.562,0.305,0.45,0.34,0.30000000000000004,regular-graph
0.563,0.306,0.47,0.37,0.30000000000000004,regular-graph
0.562,0.303,0.49,0.4,0.30000000000000004,regular-graph
0.562,0.301,0.51,0.39,0.30000000000000004,regular-graph
0.559,0.285,0.56,0.49,0.30000000000000004,regular-graph
0.557,0.288,0.53,0.39,0.30000000000000004,regular-graph
0.558,0.291,0.49,0.39,0.30000000000000004,regular-graph
0.558,0.288,0.5,0.43,0.30000000000000004,regular-graph
0.559,0.297,0.48,0.35,0.30000000000000004,regular-graph
0.56,0.299,0.47,0.38,0.30000000000000004,regular-graph
0.561,0.305,0.46,0.34,0.4,regular-graph
0.562,0.306,0.46,0.37,0.4,regular-graph
0.563,0.303,0.48,0.4,0.4,regular-graph
0.562,0.301,0.51,0.39,0.4,regular-graph
0.559,0.285,0.56,0.49,0.4,regular-graph
0.557,0.286,0.54,0.41,0.4,regular-graph
0.558,0.289,0.49,0.39,0.4,regular-graph
0.558,0.287,0.5,0.43,0.4,regular-graph
0.558,0.295,0.48,0.36,0.4,regular-graph
0.56,0.299,0.47,0.37,0.4,regular-graph
0.562,0.309,0.46,0.34,0.5,regular-graph
0.563,0.309,0.46,0.37,0.5,regular-graph
0.564,0.307,0.46,0.38,0.5,regular-graph
0.563,0.307,0.5,0.37,0.5,regular-graph
0.56,0.291,0.56,0.48,0.5,regular-graph
0.558,0.29,0.55,0.4,0.5,regular-graph
0.558,0.292,0.51,0.39,0.5,regular-graph
0.558,0.29,0.51,0.42,0.5,regular-graph
0.559,0.298,0.48,0.35,0.5,regular-graph
0.56,0.302,0.48,0.37,0.5,regular-graph
0.562,0.309,0.47,0.34,0.6000000000000001,regular-graph
0.564,0.312,0.46,0.35,0.6000000000000001,regular-graph
0.565,0.31,0.45,0.38,0.6000000000000001,regular-graph
0.564,0.309,0.5,0.37,0.6000000000000001,regular-graph
0.561,0.293,0.56,0.47,0.6000000000000001,regular-graph
0.558,0.292,0.56,0.4,0.6000000000000001,regular-graph
0.558,0.296,0.53,0.37,0.6000000000000001,regular-graph
0.557,0.297,0.55,0.39,0.6000000000000001,regular-graph
0.558,0.304,0.5,0.34,0.6000000000000001,regular-graph
0.559,0.308,0.49,0.36,0.6000000000000001,regular-graph
0.565,0.332,0.49,0.32,0.7000000000000001,regular-graph
0.567,0.336,0.46,0.3,0.7000000000000001,regular-graph
0.569,0.33,0.45,0.36,0.7000000000000001,regular-graph
0.568,0.324,0.5,0.36,0.7000000000000001,regular-graph
0.564,0.303,0.56,0.47,0.7000000000000001,regular-graph
0.56,0.297,0.58,0.41,0.7000000000000001,regular-graph
0.559,0.297,0.54,0.38,0.7000000000000001,regular-graph
0.557,0.297,0.56,0.39,0.7000000000000001,regular-graph
0.558,0.304,0.52,0.34,0.7000000000000001,regular-graph
0.558,0.307,0.5,0.36,0.7000000000000001,regular-graph
0.572,0.344,0.43,0.28,0.8,regular-graph
0.573,0.353,0.46,0.25,0.8,regular-graph
0.574,0.351,0.45,0.3,0.8,regular-graph
0.573,0.347,0.5,0.31,0.8,regular-graph
0.569,0.326,0.56,0.42,0.8,regular-graph
0.565,0.317,0.58,0.38,0.8,regular-graph
0.563,0.317,0.54,0.34,0.8,regular-graph
0.561,0.315,0.57,0.36,0.8,regular-graph
0.561,0.322,0.53,0.3,0.8,regular-graph
0.562,0.328,0.5,0.31,0.8,regular-graph
0.603,0.38,0.28,0.22,0.9,regular-graph
0.605,0.39,0.33,0.18,0.9,regular-graph
0.606,0.402,0.36,0.16,0.9,regular-graph
0.606,0.409,0.4,0.17,0.9,regular-graph
0.602,0.403,0.45,0.23,0.9,regular-graph
0.597,0.395,0.49,0.24,0.9,regular-graph
0.594,0.399,0.46,0.19,0.9,regular-graph
0.591,0.402,0.49,0.19,0.9,regular-graph
0.591,0.41,0.46,0.17,0.9,regular-graph
0.592,0.413,0.43,0.19,0.9,regular-graph
