network_type,tgt_agt_centr,Persuasion,Value
albert-barabasi,24,1.0,[-0.06782014]
random-graph,0,0.0,[-0.34098633]
random-graph,0,0.1,[-0.32334448]
random-graph,0,0.2,[-0.31396011]
random-graph,0,0.30000000000000004,[-0.26953083]
random-graph,0,0.4,[-0.23435126]
random-graph,0,0.5,[-0.21874304]
random-graph,0,0.6000000000000001,[-0.14769968]
random-graph,0,0.7000000000000001,[-0.10862799]
random-graph,0,0.8,[-0.08268533]
random-graph,0,0.9,[-0.05442324]
random-graph,0,1.0,[-0.05558082]
random-graph,4,0.0,[-0.34098633]
random-graph,4,0.1,[-0.32354799]
random-graph,4,0.2,[-0.31455312]
random-graph,4,0.30000000000000004,[-0.26950234]
random-graph,4,0.4,[-0.2242642]
random-graph,4,0.5,[-0.21737666]
random-graph,4,0.6000000000000001,[-0.14717963]
random-graph,4,0.7000000000000001,[-0.10190044]
random-graph,4,0.8,[-0.07949625]
random-graph,4,0.9,[-0.04774716]
random-graph,4,1.0,[-0.05418482]
random-graph,9,0.0,[-0.34098633]
random-graph,9,0.1,[-0.3233284]
random-graph,9,0.2,[-0.31111247]
random-graph,9,0.30000000000000004,[-0.2725342]
random-graph,9,0.4,[-0.2330955]
random-graph,9,0.5,[-0.22930036]
random-graph,9,0.6000000000000001,[-0.15428945]
random-graph,9,0.7000000000000001,[-0.11349062]
random-graph,9,0.8,[-0.08047328]
random-graph,9,0.9,[-0.05499306]
random-graph,9,1.0,[-0.03936128]
random-graph,24,0.0,[-0.34098633]
random-graph,24,0.1,[-0.32332506]
random-graph,24,0.2,[-0.30920682]
random-graph,24,0.30000000000000004,[-0.26793778]
random-graph,24,0.4,[-0.23169913]
random-graph,24,0.5,[-0.21663574]
random-graph,24,0.6000000000000001,[-0.15051782]
random-graph,24,0.7000000000000001,[-0.10731597]
random-graph,24,0.8,[-0.07916606]
random-graph,24,0.9,[-0.0560815]
random-graph,24,1.0,[-0.02550471]
watts-strogatz,0,0.0,[-0.34098633]
watts-strogatz,0,0.1,[-0.31953769]
watts-strogatz,0,0.2,[-0.31221923]
watts-strogatz,0,0.30000000000000004,[-0.28396879]
watts-strogatz,0,0.4,[-0.28477121]
watts-strogatz,0,0.5,[-0.24951191]
watts-strogatz,0,0.6000000000000001,[-0.14473258]
watts-strogatz,0,0.7000000000000001,[-0.13801311]
watts-strogatz,0,0.8,[-0.08721752]
watts-strogatz,0,0.9,[-0.06952547]
watts-strogatz,0,1.0,[-0.06080733]
watts-strogatz,4,0.0,[-0.34098633]
watts-strogatz,4,0.1,[-0.31974248]
watts-strogatz,4,0.2,[-0.31364737]
watts-strogatz,4,0.30000000000000004,[-0.28440876]
watts-strogatz,4,0.4,[-0.2905122]
watts-strogatz,4,0.5,[-0.2495123]
watts-strogatz,4,0.6000000000000001,[-0.13974713]
watts-strogatz,4,0.7000000000000001,[-0.14408972]
watts-strogatz,4,0.8,[-0.09203936]
watts-strogatz,4,0.9,[-0.0727806]
watts-strogatz,4,1.0,[-0.02573495]
watts-strogatz,9,0.0,[-0.34098633]
watts-strogatz,9,0.1,[-0.32375731]
watts-strogatz,9,0.2,[-0.31431871]
watts-strogatz,9,0.30000000000000004,[-0.28513533]
watts-strogatz,9,0.4,[-0.29026257]
watts-strogatz,9,0.5,[-0.24936484]
watts-strogatz,9,0.6000000000000001,[-0.14908946]
watts-strogatz,9,0.7000000000000001,[-0.14090432]
watts-strogatz,9,0.8,[-0.09339706]
watts-strogatz,9,0.9,[-0.07058487]
watts-strogatz,9,1.0,[-0.03026684]
watts-strogatz,24,0.0,[-0.34098633]
watts-strogatz,24,0.1,[-0.32098479]
watts-strogatz,24,0.2,[-0.31186698]
watts-strogatz,24,0.30000000000000004,[-0.28402188]
watts-strogatz,24,0.4,[-0.28931248]
watts-strogatz,24,0.5,[-0.25016986]
watts-strogatz,24,0.6000000000000001,[-0.14038149]
watts-strogatz,24,0.7000000000000001,[-0.12921861]
watts-strogatz,24,0.8,[-0.08404627]
watts-strogatz,24,0.9,[-0.07722315]
watts-strogatz,24,1.0,[-0.01993483]
regular-graph,0,0.0,[-0.34098633]
regular-graph,0,0.1,[-0.3223254]
regular-graph,0,0.2,[-0.30369336]
regular-graph,0,0.30000000000000004,[-0.28557045]
regular-graph,0,0.4,[-0.26321052]
regular-graph,0,0.5,[-0.23892012]
regular-graph,0,0.6000000000000001,[-0.15975719]
regular-graph,0,0.7000000000000001,[-0.0965596]
regular-graph,0,0.8,[-0.08721427]
regular-graph,0,0.9,[-0.07573168]
regular-graph,0,1.0,[-0.02669524]
regular-graph,4,0.0,[-0.34098633]
regular-graph,4,0.1,[-0.32230207]
regular-graph,4,0.2,[-0.30291227]
regular-graph,4,0.30000000000000004,[-0.28073457]
regular-graph,4,0.4,[-0.2634271]
regular-graph,4,0.5,[-0.24701334]
regular-graph,4,0.6000000000000001,[-0.16031844]
regular-graph,4,0.7000000000000001,[-0.10175749]
regular-graph,4,0.8,[-0.09064802]
regular-graph,4,0.9,[-0.06409952]
regular-graph,4,1.0,[-0.02823649]
regular-graph,9,0.0,[-0.34098633]
regular-graph,9,0.1,[-0.32211499]
regular-graph,9,0.2,[-0.30262919]
regular-graph,9,0.30000000000000004,[-0.27919481]
regular-graph,9,0.4,[-0.25247084]
regular-graph,9,0.5,[-0.2410788]
regular-graph,9,0.6000000000000001,[-0.14798698]
regular-graph,9,0.7000000000000001,[-0.10678878]
regular-graph,9,0.8,[-0.08980884]
regular-graph,9,0.9,[-0.06753066]
regular-graph,9,1.0,[-0.0305289]
regular-graph,24,0.0,[-0.34098633]
regular-graph,24,0.1,[-0.32193575]
regular-graph,24,0.2,[-0.30350648]
regular-graph,24,0.30000000000000004,[-0.28048545]
regular-graph,24,0.4,[-0.24946636]
regular-graph,24,0.5,[-0.23649842]
regular-graph,24,0.6000000000000001,[-0.16038431]
regular-graph,24,0.7000000000000001,[-0.10298685]
regular-graph,24,0.8,[-0.08759426]
regular-graph,24,0.9,[-0.06939481]
regular-graph,24,1.0,[-0.02953544]
