inflation,output,market_inflation,market_output,fe_inflation,fe_output,target
-0.072,-0.153,-0.253,-0.521,-0.181,-0.368,0
-0.629,-1.223,-0.011,-0.098,0.618,1.125,0
-0.028,-0.717,-0.17,-0.942,-0.14200000000000002,-0.22499999999999998,0
-0.341,-0.334,-0.01,-0.53,0.331,-0.196,0
-0.069,-0.324,-0.157,-0.147,-0.088,0.17700000000000002,0
-0.962,-0.043,-0.027,-0.133,0.9349999999999999,-0.09000000000000001,0
-0.163,0.181,-0.548,-0.015,-0.385,-0.196,0
-0.159,-0.249,-0.091,0.063,0.068,0.312,0
0.364,0.64,-0.064,-0.087,-0.428,-0.727,0
0.393,0.576,0.174,0.339,-0.21900000000000003,-0.23699999999999993,0
0.756,1.213,0.2,0.328,-0.556,-0.885,0
0.584,0.602,0.454,0.898,-0.12999999999999995,0.29600000000000004,0
0.815,-0.528,0.356,0.422,-0.45899999999999996,0.95,0
-0.074,-0.092,0.555,-0.174,0.629,-0.08199999999999999,0
-0.584,0.325,-0.045,-0.011,0.5389999999999999,-0.336,0
0.015,-0.0,-0.111,0.013,-0.126,0.013,0
-0.049,-0.768,0.002,-0.0,0.051000000000000004,0.768,0
-0.174,-0.617,-0.008,-0.115,0.16599999999999998,0.502,0
-0.195,0.122,-0.049,-0.074,0.14600000000000002,-0.196,0
0.137,0.048,-0.037,0.018,-0.17400000000000002,-0.030000000000000002,0
-0.202,0.093,0.044,0.008,0.246,-0.08499999999999999,0
0.099,-0.272,-0.083,0.017,-0.182,0.28900000000000003,0
-0.413,-0.601,0.05,-0.076,0.46299999999999997,0.525,0
-0.531,-0.422,-0.198,-0.186,0.333,0.236,0
0.029,-1.002,-0.297,-0.186,-0.326,0.8160000000000001,0
0.56,0.078,0.012,-0.611,-0.548,-0.689,0
-0.166,0.319,0.173,0.053,0.33899999999999997,-0.266,0
0.328,0.37,-0.053,0.093,-0.381,-0.277,0
